frog_id,pop,birth_yr,EB,mass_pre20,length_pre20,svl_pre20,mass_post21,length_post21,svl_post21,mass_pre_21,svl_pre21
2019 CBEM08-02,VA,2019,0,24.19,58.3,56.9964,27.44,54.6,53.7071,52.3,74.17
2019 CBEM08-03,VA,2019,1,12.58,47.5,47.3952,23.41,48.26,48.07084,24.71,53.31
2019 CBEM08-04,VA,2019,1,20.52,54.1,53.2626,26.06,53.11,52.38249,46.04,69.65
2019 CBEM08-05,VA,2019,0,18.41,53.5,52.7292,26.16,53.16,52.42694,35.13,62.29
2019 CBEM08-07,VA,2019,0,11.95,43.3,43.6614,21.99,45.43,45.55497,28.61,55.39
2019 CBEM08-08,VA,2019,0,12.87,45.4,45.5283,23.65,45.82,45.90168,24.6,54.57
2019 CBEM08-09,VA,2019,0,14.75,47.7,47.5730,23.86,50.44,50.00886,29.51,63.89
2019 CBEM21-03,VA,2019,0,14.9,51.8,51.2179,24.74,45.91,45.98169,33.03,57.36
2019 CBEM21-05,VA,2019,1,18.28,52.9,52.1958,26.31,48.44,48.23086,39.49,64.5
2019 CBEM21-09,VA,2019,1,16.76,52,51.3957,25.14,49.29,48.98651,38.66,64.77
2019 WCEM01-01,VA,2019,1,9.04,45.6,45.7061,18.12,34.26,35.62484,18.01,46.14
2019 WCEM01-02,VA,2019,1,6.71,37.5,38.5052,21.56,38.44,39.34086,20.84,55.49
2019 WCEM02-04,VA,2019,1,12.31,46.7,46.6840,21.66,48.95,48.68425,32.68,63.89
2019 WCEM02-05,VA,2019,1,13.32,49.5,49.1732,23.07,48,47.8397,32.79,62
2019 WCEM03-01,VA,2019,1,16.51,51.6,51.0401,25.59,54.07,53.23593,36.84,60.62
