ID,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass0,mass1,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12
2017 CBGHA#2-02,VA,Morris x Mountain,VA,Captive Bred,2017,08-May-20,3,0,5.31,55,60.1,,,,,,,,,,
2017 CBGHA#22-02,VA,Maria,VA,Captive Bred,2017,01-May-20,3,0,5.58,37.3,71.5,,,,,,,,,,
2017 WCEM03-03,VA,Maria,VA,Wild Caught,2017,25-Mar-20,3,0,4.22,40.6,59.4,,,,,,,,,,
2018 CBEM02-03,VA,Maria,VA,Captive Bred,2018,26-Mar-20,2,0,16.48,76.8,,,,,,,,,,,
2018 CBEM03-07,VA,Elk x McLennan,VA,Captive Bred,2018,26-Apr-21,3,0,7.41,52.8,49.38,,,,,,,,,,
2019 CBEM08-02,VA,Maria x Aldergrove,VA,Captive Bred,2019,05-Apr-22,3,0,8,24.19,52.3,,,,,,,,,,
2019 CBEM08-05,VA,Maria x Aldergrove,VA,Captive Bred,2019,17-Apr-22,3,0,4.9,18.41,35.13,,,,,,,,,,
2019 CBEM08-07,VA,Maria x Aldergrove,VA,Captive Bred,2019,16-Apr-22,3,0,3.7,11.95,28.61,,,,,,,,,,
2019 CBEM08-08,VA,Maria x Aldergrove,VA,Captive Bred,2019,20-Apr-22,3,0,5,12.87,24.6,,,,,,,,,,
2019 CBEM08-09,VA,Maria x Aldergrove,VA,Captive Bred,2019,27-Apr-22,3,0,4.9,14.75,29.51,,,,,,,,,,
2019 CBEM21-03,VA,Maria x Mountain,VA,Captive Bred,2019,07-May-22,3,0,4.7,14.9,33.03,,,,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,unknown,,1,,,,,,61.4,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,unknown,,1,,,,,,65.3,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,unknown,,1,,,,,,71.4,,,,,,,
2007 MARIA SLOUGH,VA,Maria,MS,Wild Caught,2007,2015,8,1,,,,,,,108.3,108.97,,,,,
2009 GRP 2-02,VA,Mountain,MT,Wild Caught,2009,NA,13,1,,,,69.9,83.7,89,,93.56,89.87,90.8,97.5,76.6,66.22
2009 MARIA SLOUGH A1,VA,Maria,MS,Wild Caught,2009,2016,7,1,,,,51.8,68.8,71.4,,100.09,,,,,
2009 MARIA SLOUGH A2,VA,Maria,MS,Wild Caught,2009,2016,7,1,,,,,66.1,53.2,,,,,,,
2009 MARIA SLOUGH A3,VA,Maria,MS,Wild Caught,2009,2016,7,1,,,,41.2,72.6,69.5,,86.81,,,,,
2009 MARIA SLOUGH A4,VA,Maria,MS,Wild Caught,2009,2016,7,1,,,,,71.6,68.5,,,,,,,
2009 MARIA SLOUGH A5,VA,Maria,MS,Wild Caught,2009,unknown,,1,,,,41.3,68.9,67.7,,86.81,89.1,,,,
2009 MARIA SLOUGH A7,VA,Maria,MS,Wild Caught,2009,2015,6,1,,,,,75.3,66.4,,,,,,,
2009 MARIA SLOUGH A8,VA,Maria,MS,Wild Caught,2009,2014,5,1,,,,36.3,78.9,,,,,,,,
2009 MOUNTAIN SLOUGH GRP 1,VA,Mountain,MT,Wild Caught,2009,2014,5,1,,,,37.2,,,,,,,,,
2009 MOUNTAIN SLOUGH GRP 1,VA,Mountain,MT,Wild Caught,2009,2014,5,1,,,,41.4,,,,,,,,,
2009 MOUNTAIN SLOUGH GRP 3,VA,Mountain,MT,Wild Caught,2009,2014,5,1,,,,,74,,,,,,,,
2010 EM05-02,VA,Morris,MV,Wild Caught,2010,unknown,,1,,,,44.7,,,,,,,,,
2010 EMO3-01,VA,Morris,MV,Wild Caught,2010,unknown,,1,,,,55.6,,,,,,,,,
2010 EM01 - 1,VA,Mountain,MT,Wild Caught,2010,unknown,,1,,,28.6,,,,,,,,,,
2010 EM01 - 2,VA,Mountain,MT,Wild Caught,2010,unknown,,1,,,26.6,,,,,,,,,,
2010 EM01 - 3,VA,Mountain,MT,Wild Caught,2010,unknown,,1,,,26.4,,,,,,,,,,
2010 EM01 - 5?,VA,Mountain,MT,Wild Caught,2010,unknown,,1,,,11.1,,,,,,,,,,
2010 EM01 - 6?,VA,Mountain,MT,Wild Caught,2010,unknown,,1,,,9.8,,,,,,,,,,
2010 EM01 - 7,VA,Mountain,MT,Wild Caught,2010,unknown,,1,,,26.8,,,,,,,,,,
2010 EM04 - 1,VA,Mountain,MT,Wild Caught,2010,2016,6,1,,,35.7,25.1,,,,,,,,,
2010 EM05 - 2,VA,Mountain,MT,Wild Caught,2010,2014,4,1,,,37.6,69.4,,,,,,,,,
2011 #2-01,VA,Morris,MV,Wild Caught,2011,unknown,,1,,5.5,15.2,19.58,,43.19,,,,,,,
2011 #2-02,VA,Morris,MV,Wild Caught,2011,2016,5,1,,7.7,10.1,13.71,,32.56,48.8,,,,,,
2011 #3-03,VA,Morris,MV,Wild Caught,2011,2016,5,1,,5.2,9.2,8.38,,,,,,,,,
2011 MOUNTAIN SLOUGH #1 -3,VA,Mountain,MT,Wild Caught,2011,unknown,,1,,6.4,13.5,16.84,,54.19,67.4,,,,,,
2012 07/08 UNKNOWN-01,VA,Maria,VA,Captive Bred,2012,unknown,,1,1.4,6.5,30.5,,47.07,101.35,,,,,,,
2012 07/08 UNKNOWN-03,VA,Maria,VA,Captive Bred,2012,unknown,,1,3.6,12.2,15.3,,78.32,51.43,,,,,,,
2012 CBEM03 GRP2-01,VA,Maria x Mountain,VA,Captive Bred,2012,unknown,,1,4.2,5.9,27.8,,65.43,96.05,,,,,,,
2012 CBEM04-01,VA,Maria x Mountain,VA,Captive Bred,2012,2018,6,1,3.3,4.7,6.7,,45.77,57.76,,,,,,,
2012 WCEM05-01,VA,Mountain,MT,Wild Caught,2012,unknown,,1,3.8,17.15,15.58,,59.89,65.68,,,,,,,
2012 WCEM08-01,VA,Morris,MV,Wild Caught,2012,2017,5,1,4.6,9.6,27.23,,87.06,,,,,,,,
2012 WCEM08-02,VA,Morris,MV,Wild Caught,2012,31-Dec-21,9,1,,,,,,88.04,90.5,82.6,40.21,,,,
2012 WCEM09-01,VA,Morris,MV,Wild Caught,2012,2016,4,1,4.6,8.02,20.25,,,,,,,,,,
2013 CBGHB#3-01,VA,Maria x Mountain,VA,Captive Bred,2013,2017,4,1,3.6,16.7,,84.86,,,,,,,,,
2013 CBGHB#3-05,VA,Maria x Mountain,VA,Captive Bred,2013,2017,4,1,2.59,9.8,,42.45,,,,,,,,,
2013 CBGHB#4-03,VA,Maria,VA,Captive Bred,2013,2018,5,1,4.14,15,,78.74,88.24,,,,,,,,
2014 CB ALDERGROVE 05,VA,Aldergrove,VA,Captive Bred,2014,2016,2,1,,47.82,,,,,,,,,,,
2014 CB ALDERGROVE 06,VA,Aldergrove,VA,Captive Bred,2014,2016,2,1,,36.25,,,,,,,,,,,
2014 CBEM01-03,VA,Mountain x Maria,VA,Captive Bred,2014,18-Jun-22,8,1,,,,,95.7,89.3,83.32,49.91,,,,,
2014 CBEM01-04,VA,Mountain x Maria,VA,Captive Bred,2014,unknown,,1,4.05,,50.84,83.2,,,,,,,,,
2014 CBEM02-02,VA,Maria,VA,Captive Bred,2014,unknown,,1,5.09,,70.35,78.82,,,,,,,,,
2014 CBEM05-01,VA,Maria,VA,Captive Bred,2014,unknown,,1,7.28,,58.2,76.07,,,,,,,,,
2014 WCEM01-01,VA,Maria,MS,Wild Caught,2014,unknown,,1,4.95,,54.27,98.37,,,,,,,,,
2014 WCEM02-02,VA,Morris,MV,Wild Caught,2014,NA,8,1,3.28,,41.11,50.32,66.3,69.1,69.91,60.56,,,,,
2015 CBEM04-01,VA,,VA,Captive Bred,2015,2019,4,1,,24.38,76.34,104,,,,,,,,,
2015 CBEM04-05,VA,,VA,Captive Bred,2015,2019,4,1,,38.66,69.28,102,,,,,,,,,
2015 CBEM06-01,VA,,VA,Captive Bred,2015,unknown,,1,,61.95,84.99,,,,,,,,,,
2015 CBEM06-03,VA,,VA,Captive Bred,2015,unknown,,1,,74.85,67.31,,,,,,,,,,
2015 WCEM02-02,VA,Elk,EK,Wild Caught,2015,unknown,,1,,70.22,78.26,,,,,,,,,,
2015 WCEM02-03,VA,Elk,EK,Wild Caught,2015,unknown,,1,,59.35,65.93,,,,,,,,,,
2015 WCEM02-05,VA,Elk,EK,Wild Caught,2015,unknown,,1,,34.04,78.25,,,,,,,,,,
2015 WCEM03-01,VA,McLennan,ML,Wild Caught,2015,unknown,,1,,24.84,43.86,,,,,,,,,,
2015 WCEM03-04,VA,McLennan,ML,Wild Caught,2015,NA,7,1,,26.48,48.7,69.85,71,61.15,60.21,,,,,,
2015 WCEM03-05,VA,McLennan,ML,Wild Caught,2015,NA,7,1,,29.15,44.16,65.52,63.8,63.48,69.58,,,,,,
2015 WCEM03-06,VA,McLennan,ML,Wild Caught,2015,2018,3,1,,15.74,28.9,,,,,,,,,,
2016 CBGHA#11-06,VA,Maria x Mountain,VA ,Captive Bred,2016,31-Dec-20,4,1,5.72,57.22,70.3,67.1,,,,,,,,,
2016 CBGHA#11-07,VA,Maria x Mountain,VA,Captive Bred,2016,2018,2,1,5.1,39.29,,,,,,,,,,,
2016 CBGHA#11-08,VA,Maria x Mountain,VA,Captive Bred,2016,NA,6,1,3.22,50.14,62.6,68.9,55.13,64.86,,,,,,,
2016 CBGHB#20-01,VA,Maria x Mountain,VA,Captive Bred,2016,25-Mar-20,4,1,5.12,20.78,58.3,58,,,,,,,,,
2016 CBGHB#5-01,VA,Maria x Aldergrove,VA,Captive Bred,2016,26-Mar-22,6,1,2.46,58.66,80.2,79,63.4,57.48,,,,,,,
2016 CBGHB#5-02,VA,Maria x Aldergrove,VA,Captive Bred,2016,26-Jun-20,4,1,4.64,46.08,72,57.8,,,,,,,,,
2016 WCEM01-01,VA,Morris,MV,Wild Caught,2016,NA,6,1,2.99,18.58,36,74.1,61.38,72.94,,,,,,,
2016 WCEM05-01,VA,Elk,VA,Wild Caught,2016,,,1,4.94,39.53,,,,,,,,,,,
2016 WCEM05-02,VA,Elk,VA,Wild Caught,2016,31-Dec-20,4,1,4.69,48.31,92.5,117.8,,,,,,,,,
2016 WCEM05-03,VA,Elk,EK,Wild Caught,2016,NA,6,1,4.27,35.93,74,58.1,62.4,75.44,,,,,,,
2017 CBGHA#2-03,VA,Morris x Mountain,VA,Captive Bred,2017,31-Dec-20,3,1,5.36,49.5,54.4,,,,,,,,,,
2017 CBGHB#11-02,VA,Maria x Aldergrove,VA,Captive Bred,2017,NA,5,1,4.49,54.6,77.2,73.05,74.24,,,,,,,,
2017 CBGHB#11-05,VA,Maria x Aldergrove,VA,Captive Bred,2017,NA,5,1,1.62,39.3,54.8,46.98,47.3,,,,,,,,
2017 CBGHB#17-02,VA,Mountain,VA,Captive Bred,2017,2019,2,1,5.99,58,,,,,,,,,,,
2017 CBGHB#17-03,VA,Mountain,VA,Captive Bred,2017,NA,5,1,4.32,52,78.9,56.26,63.54,,,,,,,,
2017 WCEM01-02,VA,Morris,MV,Wild Caught,2017,NA,5,1,4.37,45.6,84.3,62.13,72.82,,,,,,,,
