frog_id,pop,source,birth_site,birth_type,birth_yr,death_date,age_yrs,EB,mass2,mass3,mass4,mass5,mass6,mass7,mass8,mass9,mass10,mass11,mass12,mass13
45511 ,TZ,Mountain,MCB,Captive Bred,2010,29-Jul-21,11,1,,27.1,27.1,36.5,37.9,59.8,59,63.5,66.7,77.1,67.5,
45513 ,TZ,Mountain,MCB,Captive Bred,2009,13-Mar-21,12,1,,41.9,40,48.9,46.6,55.1,36,53.8,47.6,47.4,,
50621 ,TZ,,,Wild Caught,2014,19-Apr-19,5,0,,,105,114.3,,,,,,,,
50622 ,TZ,,,Wild Caught,2014,09-Apr-19,5,1,,,74,71.6,,,,,,,,
50623 ,TZ,,,Wild Caught,2016,18-Apr-19,3,0,59,56.8,,,,,,,,,,
50624 ,TZ,McLennan,ML,Wild Caught,2015,NA,7,1,43.86,65,63.7,61,57.8,90.8,,,,,,
50625 ,TZ,,,Wild Caught,2017,21-Apr-19,2,0,44,,,,,,,,,,,
50626 ,TZ,McLennan,ML,Wild Caught,2015,NA,7,1,28.9,49,48.6,50.4,45.8,61.9,,,,,,
50628 ,TZ,Mountain,MT,Wild Caught,2017,NA,5,1,25.6,57.4,72.6,94.7,,,,,,,,
50631 ,TZ,Mountain,MT,Wild Caught,2017,NA,5,1,31,67.2,77.5,104.2,,,,,,,,
50637 ,TZ,,TZ,Captive Bred,2016,NA,4,1,40,38.3,46.2,36.2,53.3,,,,,,,
50638 ,TZ,,TZ,Captive Bred,2016,NA,4,1,35,33.4,44.9,40.5,58,,,,,,,
2009 GRP 2-02,VA,Mountain,MT,Wild Caught,2009,NA,13,1,,,,,,,,,,,,59.82
2012 WCEM09-02,VA,Morris,MV,Wild Caught,2012,27-Apr-22,10,0,,,,,,,,,84.52,,,
2014 CBEM01-03,VA,Mountain x Maria,VA,Captive Born,2014,18-Jun-22,8,1,,,,,,,44.87,,,,,
2014 WCEM02-02,VA,Morris,MV,Wild Caught,2014,NA,8,1,,,,,,,57.84,,,,,
2015 WCEM03-04,VA,McLennan,ML,Wild Caught,2015,NA,7,1,,,,,,53.66,,,,,,
2015 WCEM03-05,VA,McLennan,ML,Wild Caught,2015,NA,7,1,,,,,,66.63,,,,,,
2016 CBGHA#11-08,VA,Maria x Mountain,VA,Captive Born,2016,NA,6,1,,,,,56.46,,,,,,,
2016 CBGHB#5-01,VA,Maria x Aldergrove,VA,Captive Born,2016,26-Mar-22,6,1,,,,,51.85,,,,,,,
2016 WCEM01-01,VA,Morris,MV,Wild Caught,2016,NA,6,1,,,,,68.13,,,,,,,
2016 WCEM05-03,VA,Elk,EK,Wild Caught,2016,NA,6,1,,,,,67.93,,,,,,,
2017 CBGHA#11-01,VA,Maria x Mountain,VA,Captive Born,2017,30-Mar-22,5,0,,,,79.14,,,,,,,,
2017 CBGHB#11-02,VA,Maria x Aldergrove,VA,Captive Born,2017,NA,5,1,,,,48.59,,,,,,,,
2017 CBGHB#11-05,VA,Maria x Aldergrove,VA,Captive Born,2017,NA,5,1,,,,41.92,,,,,,,,
2017 CBGHB#17-03,VA,Mountain,VA,Captive Born,2017,NA,5,1,,,,58.94,,,,,,,,
2017 WCEM01-02,VA,Morris,MV,Wild Caught,2017,NA,5,1,,,,70.24,,,,,,,,
2017 WCEM02-01,VA,Maria,MS,Wild Caught,2017,NA,5,1,,,,73.87,,,,,,,,
2018 CBEM01-01,VA,Maria,VA,Captive Born,2018,NA,4,1,,,48.39,,,,,,,,,
